姓名 高数 Java 数据结构 平均成绩 总成绩
张三3 27 24 23 24 74
张三53 35 11 60 35 106
张三60 1 66 52 39 119
张三10 4 80 85 56 169
张三33 54 41 61 52 156
张三84 61 66 33 53 160
张三22 79 76 24 59 179
张三71 75 67 46 62 188
张三2 55 66 99 73 220
张三8 67 4 18 29 89
张三77 12 92 14 39 118
张三15 35 27 25 29 87
张三18 73 74 98 81 245
张三45 76 18 93 62 187
张三82 32 75 4 37 111
张三72 91 20 73 61 184
张三95 59 19 93 57 171
张三9 73 58 69 66 200
张三65 58 89 44 63 191
张三24 16 33 49 32 98
张三43 5 95 34 44 134
张三94 78 0 41 39 119
张三49 40 45 1 28 86
张三31 3 65 78 48 146
张三41 12 58 59 43 129
张三47 78 63 69 70 210
张三84 69 0 69 46 138
张三65 82 93 80 85 255
张三42 61 31 48 46 140
张三81 52 38 72 54 162
张三27 2 89 88 59 179
张三22 68 76 28 57 172
张三45 99 62 19 60 180
张三85 49 77 58 61 184
张三35 45 14 23 27 82
张三33 84 35 72 63 191
张三6 35 67 3 35 105
张三71 68 79 55 67 202
张三98 56 59 49 54 164
张三59 5 66 87 52 158
张三26 59 24 57 46 140
张三11 88 42 90 73 220
张三91 6 74 2 27 82
张三91 87 37 97 73 221
张三62 57 62 60 59 179
张三17 94 16 68 59 178
张三64 49 76 35 53 160
张三17 9 14 13 12 36
张三21 58 84 43 61 185
张三11 60 16 87 54 163
张三49 67 20 39 42 126
张三8 0 70 54 41 124
张三84 74 98 10 60 182
张三38 26 38 65 43 129
张三10 15 87 64 55 166
张三70 90 24 78 64 192
张三3 77 82 82 80 241
张三69 32 35 7 24 74
张三7 37 48 14 33 99
张三9 30 64 99 64 193
张三30 57 46 40 47 143
张三40 47 98 65 70 210
张三99 94 38 35 55 167
张三65 43 99 12 51 154
张三26 32 43 89 54 164
张三93 50 95 55 66 200
张三69 46 4 81 43 131
张三61 53 97 4 51 154
张三96 30 64 17 37 111
张三47 14 15 63 30 92
张三84 64 74 71 69 209
张三16 31 48 75 51 154
张三2 19 86 84 63 189
张三66 33 68 3 34 104
张三72 88 90 23 67 201
张三77 25 15 40 26 80
张三6 24 11 98 44 133
张三67 61 94 72 75 227
张三48 8 67 85 53 160
张三18 6 14 51 23 71
张三93 78 51 20 49 149
张三19 91 29 47 55 167
张三41 2 10 34 15 46
张三48 2 72 86 53 160
张三18 62 0 66 42 128
张三81 39 75 88 67 202
张三76 94 65 76 78 235
张三96 43 28 70 47 141
张三37 89 62 28 59 179
张三33 77 27 79 61 183
张三64 66 26 19 37 111
张三0 97 98 59 84 254
张三62 62 60 93 71 215
张三50 69 7 75 50 151
张三39 92 70 42 68 204
张三72 12 89 52 51 153
张三94 89 3 91 61 183
张三62 54 58 91 67 203
张三99 26 54 31 37 111
张三73 55 85 75 71 215
张三93 67 35 25 42 127
张三59 31 41 85 52 157
张三10 10 37 24 23 71
张三57 61 66 80 69 207
张三14 17 32 45 31 94
张三85 93 87 1 60 181
张三99 42 70 17 43 129
张三30 59 11 29 33 99
张三82 1 0 93 31 94
张三75 66 61 92 73 219
张三11 55 1 74 43 130
张三74 35 29 90 51 154
张三40 79 5 99 61 183
张三80 93 76 7 58 176
张三67 63 55 5 41 123
张三88 53 76 8 45 137
张三25 51 10 48 36 109
张三37 19 22 59 33 100
张三72 17 27 46 30 90
张三97 16 2 99 39 117
张三27 42 42 88 57 172
张三26 29 43 58 43 130
张三34 26 52 6 28 84
张三73 95 74 17 62 186
张三72 70 68 24 54 162
张三69 87 30 25 47 142
张三26 88 85 15 62 188
张三24 85 42 42 56 169
张三87 54 2 41 32 97
张三24 21 56 64 47 141
张三62 84 60 43 62 187
张三1 38 76 42 52 156
张三92 10 17 21 16 48
张三14 12 37 23 24 72
张三21 92 56 18 55 166
张三67 17 43 51 37 111
张三66 84 92 84 86 260
张三51 32 33 13 26 78
张三72 50 44 9 34 103
张三87 30 56 30 38 116
张三54 75 63 22 53 160
张三1 84 64 13 53 161
张三63 49 49 20 39 118
张三76 89 65 42 65 196
张三36 93 4 63 53 160
张三36 89 83 31 67 203
张三99 73 76 41 63 190
张三74 41 25 0 22 66
张三40 7 18 22 15 47
张三31 77 50 54 60 181
张三85 64 62 9 45 135
张三76 27 90 42 53 159
张三21 27 63 88 59 178
张三53 27 67 54 49 148
张三66 40 94 31 55 165
张三89 17 2 73 30 92
张三76 82 71 92 81 245
张三88 6 21 86 37 113
张三29 35 48 13 32 96
张三43 66 97 32 65 195
张三39 29 18 13 20 60
张三56 62 79 32 57 173
张三93 96 95 52 81 243
张三29 54 4 31 29 89
张三94 51 81 67 66 199
张三78 13 93 48 51 154
张三70 94 26 39 53 159
张三93 42 69 15 42 126
张三80 93 44 32 56 169
张三21 89 60 53 67 202
张三19 98 47 14 53 159
张三59 7 63 99 56 169
张三14 89 96 55 80 240
张三92 75 90 17 60 182
张三54 64 96 44 68 204
张三2 6 22 18 15 46
张三99 22 75 0 32 97
张三24 1 31 97 43 129
张三60 85 25 45 51 155
张三51 10 66 57 44 133
张三55 77 1 72 50 150
张三95 36 96 70 67 202
张三61 51 0 27 26 78
张三51 66 56 4 42 126
张三38 26 62 84 57 172
张三44 32 54 12 32 98
张三87 79 77 91 82 247
张三38 33 23 67 41 123
张三71 9 84 4 32 97
张三32 66 23 76 55 165
张三1 51 90 42 61 183
张三92 49 39 23 37 111
张三75 40 55 38 44 133
张三83 36 19 15 23 70
张三26 13 13 53 26 79
张三93 60 59 33 50 152
张三7 19 33 96 49 148
张三75 49 14 8 23 71
张三25 91 35 48 58 174
张三47 93 6 81 60 180
张三95 65 9 97 57 171
张三19 76 51 21 49 148
张三88 72 15 37 41 124
张三37 88 27 87 67 202
张三86 44 55 57 52 156
张三78 86 62 83 77 231
张三68 88 43 67 66 198
张三22 63 91 37 63 191
张三86 37 19 7 21 63
张三80 49 47 91 62 187
张三23 75 80 32 62 187
张三72 55 56 93 68 204
张三18 94 19 2 38 115
张三69 29 58 26 37 113
张三13 36 12 85 44 133
张三52 86 81 19 62 186
张三63 22 73 65 53 160
张三47 31 36 10 25 77
张三97 71 77 22 56 170
张三35 97 10 81 62 188
张三33 67 29 9 35 105
张三61 46 65 61 57 172
张三86 20 7 64 30 91
张三72 21 93 73 62 187
张三13 31 36 2 23 69
张三74 49 67 93 69 209
张三96 64 43 8 38 115
张三81 19 85 7 37 111
张三43 75 14 8 32 97
张三88 97 17 20 44 134
张三65 49 63 83 65 195
张三7 48 80 34 54 162
张三68 64 60 73 65 197
张三43 76 12 2 30 90
张三55 62 90 67 73 219
张三88 3 24 33 20 60
张三25 99 54 88 80 241
张三71 48 39 89 58 176
张三27 24 7 12 14 43
张三95 81 59 20 53 160
张三2 80 10 87 59 177
张三35 52 10 10 24 72
张三8 50 48 32 43 130
张三88 30 56 35 40 121
张三30 72 17 37 42 126
张三4 2 95 66 54 163
张三12 16 9 99 41 124
张三29 10 65 50 41 125
张三52 89 28 53 56 170
张三33 33 20 65 39 118
张三70 92 24 96 70 212
张三25 39 66 40 48 145
张三19 84 36 3 41 123
张三66 57 63 55 58 175
张三9 87 62 86 78 235
张三24 63 31 93 62 187
张三67 66 9 50 41 125
张三47 58 13 3 24 74
张三37 56 94 38 62 188
张三36 98 86 78 87 262
张三20 10 98 76 61 184
张三58 94 31 77 67 202
张三79 21 79 58 52 158
张三15 0 91 40 43 131
张三76 2 12 34 16 48
张三61 49 75 67 63 191
张三18 57 16 86 53 159
张三57 10 9 69 29 88
张三16 71 67 2 46 140
张三69 81 20 10 37 111
张三92 87 20 2 36 109
张三71 25 7 92 41 124
张三92 65 92 53 70 210
张三14 29 48 61 46 138
张三86 39 65 88 64 192
张三54 41 33 31 35 105
张三51 8 26 21 18 55
张三59 9 32 55 32 96
张三91 26 44 5 25 75
张三43 27 29 89 48 145
张三26 97 55 0 50 152
张三93 71 88 27 62 186
张三53 71 1 24 32 96
张三78 70 27 8 35 105
张三67 91 49 24 54 164
张三75 50 23 21 31 94
张三86 64 82 72 72 218
张三31 45 69 49 54 163
张三39 31 40 85 52 156
张三62 68 49 47 54 164
张三81 69 54 32 51 155
张三51 67 20 37 41 124
张三61 52 95 39 62 186
张三87 40 99 43 60 182
张三70 48 42 61 50 151
张三78 58 4 41 34 103
张三13 34 31 37 34 102
张三14 27 97 70 64 194
张三2 50 40 61 50 151
张三68 98 22 20 46 140
张三74 36 27 49 37 112
张三52 90 42 21 51 153
张三56 7 32 59 32 98
张三88 99 9 83 63 191
张三45 73 82 21 58 176
张三42 95 41 61 65 197
张三77 2 95 56 51 153
张三28 49 63 40 50 152
张三93 82 58 16 52 156
张三99 19 55 80 51 154
张三46 40 9 70 39 119
张三72 95 11 57 54 163
张三76 14 79 92 61 185
张三40 2 96 80 59 178
张三71 87 45 58 63 190
张三94 81 58 93 77 232
张三95 32 17 55 34 104
张三46 9 35 67 37 111
张三20 26 62 31 39 119
张三14 33 63 58 51 154
张三29 32 21 66 39 119
张三30 30 67 85 60 182
张三59 63 88 38 63 189
张三72 5 2 40 15 47
张三96 60 48 10 39 118
张三32 93 74 55 74 222
张三52 63 4 58 41 125
张三69 52 54 62 56 168
张三89 62 27 21 36 110
张三12 16 60 53 43 129
张三52 34 11 49 31 94
张三19 86 83 99 89 268
张三45 26 28 71 41 125
张三84 65 76 90 77 231
张三54 31 5 10 15 46
张三76 51 33 27 37 111
张三93 60 68 16 48 144
张三37 66 17 39 40 122
张三49 23 29 4 18 56
张三69 72 26 43 47 141
张三27 57 12 7 25 76
张三2 7 10 54 23 71
张三35 72 39 83 64 194
张三7 36 68 5 36 109
张三59 1 23 46 23 70
张三8 5 76 47 42 128
张三20 74 44 85 67 203
张三98 43 58 42 47 143
张三2 55 0 27 27 82
张三75 55 81 51 62 187
张三97 11 60 28 33 99
张三35 83 18 93 64 194
张三27 96 63 8 55 167
张三5 48 57 36 47 141
张三5 74 38 72 61 184
张三98 91 3 14 36 108
张三59 26 35 69 43 130
张三12 76 24 22 40 122
张三51 87 6 90 61 183
张三24 25 47 5 25 77
张三35 33 59 6 32 98
张三38 95 70 41 68 206
张三41 4 84 95 61 183
张三88 21 91 13 41 125
张三6 32 22 8 20 62
张三14 83 35 88 68 206
张三54 15 20 80 38 115
张三53 71 42 60 57 173
张三11 47 11 71 43 129
张三15 53 55 31 46 139
张三23 12 87 16 38 115
张三40 79 8 34 40 121
张三77 80 71 94 81 245
张三52 65 11 10 28 86
张三76 75 7 62 48 144
张三57 43 75 11 43 129
张三3 15 6 11 10 32
张三52 83 36 83 67 202
张三72 13 41 33 29 87
张三44 6 57 45 36 108
张三67 18 68 11 32 97
张三87 46 26 78 50 150
张三95 24 2 76 34 102
张三95 43 80 83 68 206
张三18 67 2 84 51 153
张三88 70 11 81 54 162
张三47 13 27 10 16 50
张三80 12 51 48 37 111
张三90 74 69 64 69 207
张三3 69 29 28 42 126
张三4 29 79 74 60 182
张三46 41 54 50 48 145
张三98 39 33 96 56 168
张三43 16 61 46 41 123
张三66 58 16 33 35 107
张三29 81 30 61 57 172
张三64 4 21 92 39 117
张三73 6 67 81 51 154
张三62 34 73 95 67 202
张三29 92 90 25 69 207
张三17 31 44 25 33 100
张三89 70 84 87 80 241
张三65 9 17 88 38 114
张三6 98 3 24 41 125
张三24 78 3 1 27 82
张三42 90 30 3 41 123
张三52 42 28 48 39 118
张三42 74 28 83 61 185
张三2 8 44 71 41 123
张三49 65 58 79 67 202
张三73 42 33 66 47 141
张三13 1 14 33 16 48
张三51 86 1 25 37 112
张三45 74 26 0 33 100
张三74 31 79 39 49 149
张三35 54 38 7 33 99
张三78 15 91 26 44 132
张三27 95 21 60 58 176
张三16 69 54 92 71 215
张三21 59 30 0 29 89
张三35 62 98 16 58 176
张三40 16 82 28 42 126
张三61 89 48 3 46 140
张三3 79 18 57 51 154
张三46 18 0 76 31 94
张三54 7 89 63 53 159
张三46 94 67 85 82 246
张三76 74 64 32 56 170
张三58 47 96 51 64 194
张三76 84 58 32 58 174
张三23 73 74 83 76 230
张三3 88 27 66 60 181
张三73 75 71 24 56 170
张三64 26 84 65 58 175
张三93 77 97 30 68 204
张三34 9 12 42 21 63
张三4 65 60 69 64 194
张三73 95 3 15 37 113
张三4 3 58 11 24 72
张三1 55 41 59 51 155
张三18 29 50 37 38 116
张三96 0 98 62 53 160
张三43 46 69 87 67 202
张三14 38 21 80 46 139
张三95 32 87 33 50 152
张三42 71 24 19 38 114
张三83 65 46 32 47 143
张三38 51 27 1 26 79
张三78 25 11 20 18 56
张三14 70 79 76 75 225
张三43 9 98 23 43 130
张三76 28 80 93 67 201
张三46 82 2 14 32 98
张三17 20 86 49 51 155
张三84 54 25 46 41 125
张三25 37 49 67 51 153
张三61 53 59 14 42 126
张三65 66 37 76 59 179
张三27 11 99 60 56 170
张三38 38 36 7 27 81
张三55 26 78 7 37 111
张三23 51 31 4 28 86
张三14 36 50 72 52 158
张三63 77 98 33 69 208
张三82 15 69 23 35 107
张三47 31 83 33 49 147
张三73 9 30 64 34 103
张三94 46 39 31 38 116
张三9 35 77 60 57 172
张三57 1 29 45 25 75
张三38 28 94 43 55 165
张三84 78 46 4 42 128
张三82 22 35 57 38 114
张三11 63 91 94 82 248
张三76 64 51 39 51 154
张三81 6 2 99 35 107
张三18 37 23 40 33 100
张三8 99 50 83 77 232
张三60 20 28 22 23 70
张三23 57 24 54 45 135
张三81 7 60 11 26 78
张三90 92 76 89 85 257
张三54 72 15 68 51 155
张三56 18 98 18 44 134
张三79 56 98 17 57 171
张三87 47 61 94 67 202
张三44 3 16 46 21 65
张三10 27 26 96 49 149
张三47 72 58 59 63 189
张三44 68 11 50 43 129
张三78 13 80 58 50 151
张三1 39 75 58 57 172
张三54 65 57 77 66 199
张三96 28 49 57 44 134
张三54 36 44 91 57 171
张三88 17 39 80 45 136
张三91 56 86 80 74 222
张三36 91 62 70 74 223
张三21 21 50 27 32 98
张三57 2 97 54 51 153
张三85 64 75 55 64 194
张三13 41 70 20 43 131
张三20 29 74 65 56 168
张三60 5 95 15 38 115
张三92 23 6 8 12 37
张三36 52 42 73 55 167
张三40 86 34 3 41 123
张三80 75 11 46 44 132
张三24 90 19 99 69 208
张三4 62 21 87 56 170
张三25 58 11 26 31 95
张三54 92 53 8 51 153
张三44 87 62 1 50 150
张三40 3 4 21 9 28
张三78 80 39 59 59 178
张三20 36 37 32 35 105
张三97 42 37 53 44 132
张三60 22 35 34 30 91
张三28 3 14 25 14 42
张三20 84 99 42 75 225
张三23 51 88 42 60 181
张三27 59 46 39 48 144
张三91 3 79 65 49 147
张三30 75 87 49 70 211
张三85 43 84 72 66 199
张三62 21 10 47 26 78
张三96 3 15 70 29 88
张三48 10 82 65 52 157
张三92 74 44 66 61 184
张三28 13 49 65 42 127
张三2 58 17 68 47 143
张三98 20 5 88 37 113
张三35 15 61 54 43 130
张三69 60 50 86 65 196
张三78 52 74 23 49 149
张三10 64 58 14 45 136
张三17 69 67 1 45 137
张三30 86 35 29 50 150
张三80 55 28 96 59 179
张三99 95 34 19 49 148
张三94 88 90 5 61 183
张三26 96 42 76 71 214
张三89 2 49 12 21 63
张三31 65 77 61 67 203
张三15 16 59 48 41 123
张三97 97 55 53 68 205
张三43 26 83 90 66 199
张三81 91 6 57 51 154
张三68 29 3 20 17 52
张三6 33 52 17 34 102
张三31 8 6 79 31 93
张三82 54 85 81 73 220
张三27 7 91 78 58 176
张三26 59 98 79 78 236
张三85 85 69 57 70 211
张三68 72 62 36 56 170
张三9 98 67 98 87 263
张三71 25 50 30 35 105
张三30 82 37 41 53 160
张三0 0 51 47 32 98
张三17 16 33 53 34 102
张三17 1 24 18 14 43
张三31 93 22 51 55 166
张三95 1 88 25 38 114
张三19 29 23 79 43 131
张三61 11 54 14 26 79
张三2 86 13 89 62 188
张三30 48 23 55 42 126
张三89 88 19 77 61 184
张三76 12 27 32 23 71
张三13 63 94 76 77 233
张三59 95 89 56 80 240
张三92 35 63 0 32 98
张三4 75 6 40 40 121
张三48 41 63 99 67 203
张三94 80 7 64 50 151
张三37 61 18 70 49 149
张三38 16 22 28 22 66
张三75 84 38 18 46 140
张三6 98 72 83 84 253
张三66 39 16 85 46 140
张三54 28 68 62 52 158
张三63 63 69 80 70 212
张三87 4 69 68 47 141
张三17 6 52 62 40 120
张三19 64 50 93 69 207
张三2 67 26 97 63 190
张三34 87 70 66 74 223
张三14 27 75 57 53 159
张三57 17 45 59 40 121
张三82 29 99 35 54 163
张三94 73 66 94 77 233
张三44 98 20 25 47 143
张三91 58 16 39 37 113
张三71 22 81 52 51 155
张三26 0 78 78 52 156
张三49 34 37 69 46 140
张三35 62 34 97 64 193
张三45 58 52 60 56 170
张三32 21 0 20 13 41
张三13 5 60 12 25 77
张三78 97 52 83 77 232
张三29 57 47 38 47 142
张三3 83 23 38 48 144
张三60 45 74 69 62 188
张三0 8 94 20 40 122
张三84 26 36 57 39 119
张三26 29 96 21 48 146
张三46 12 27 38 25 77
张三89 48 96 48 64 192
张三0 1 74 63 46 138
张三12 76 56 68 66 200
张三70 27 30 87 48 144
张三91 15 49 61 41 125
张三44 4 70 75 49 149
张三92 18 6 37 20 61
张三66 58 7 73 46 138
张三60 39 9 89 45 137
张三8 57 29 38 41 124
张三24 7 62 78 49 147
张三24 84 37 43 54 164
张三37 64 5 85 51 154
张三18 17 7 85 36 109
张三67 57 39 75 57 171
张三91 7 40 71 39 118
张三34 86 6 47 46 139
张三35 70 41 61 57 172
张三73 25 11 73 36 109
张三96 39 60 83 60 182
张三45 89 99 51 79 239
张三20 34 90 60 61 184
张三44 12 14 21 15 47
张三58 42 84 12 46 138
张三61 34 16 21 23 71
张三96 32 57 16 35 105
张三6 49 18 85 50 152
张三22 39 69 43 50 151
张三12 41 75 2 39 118
张三68 75 20 5 33 100
张三47 2 41 91 44 134
张三70 80 96 83 86 259
张三19 32 70 75 59 177
张三43 4 37 10 17 51
张三70 50 36 32 39 118
张三64 83 34 32 49 149
张三63 65 78 78 73 221
张三5 53 66 91 70 210
张三19 96 20 2 39 118
张三67 18 36 71 41 125
张三69 26 10 61 32 97
张三94 66 62 20 49 148
张三13 47 73 1 40 121
张三89 82 39 46 55 167
张三13 15 80 55 50 150
张三38 33 83 23 46 139
张三49 24 77 62 54 163
张三21 1 2 86 29 89
张三28 84 23 73 60 180
张三87 89 75 81 81 245
张三21 41 33 54 42 128
张三84 36 35 1 24 72
张三54 81 25 14 40 120
张三3 20 68 39 42 127
张三7 17 12 96 41 125
张三65 12 85 16 37 113
张三69 37 3 20 20 60
张三53 38 45 82 55 165
张三68 61 84 62 69 207
张三84 44 2 95 47 141
张三71 55 2 21 26 78
张三56 68 32 16 38 116
张三18 76 83 89 82 248
张三32 94 57 93 81 244
张三45 55 36 33 41 124
张三29 94 54 5 51 153
张三3 49 48 67 54 164
张三39 26 49 96 57 171
张三75 10 46 50 35 106
张三92 23 7 25 18 55
张三55 56 4 54 38 114
张三30 88 67 97 84 252
张三42 41 10 87 46 138
张三75 5 9 72 28 86
张三53 54 16 57 42 127
张三93 89 30 51 56 170
张三69 8 57 17 27 82
张三79 76 63 86 75 225
张三58 85 80 35 66 200
张三41 9 85 75 56 169
张三51 52 48 56 52 156
张三36 56 86 28 56 170
张三56 67 94 80 80 241
张三94 1 91 21 37 113
张三33 37 48 47 44 132
张三31 59 67 71 65 197
张三77 2 58 17 25 77
张三40 29 52 94 58 175
张三71 46 72 87 68 205
张三16 74 86 47 69 207
张三17 68 64 74 68 206
张三30 96 39 46 60 181
张三40 69 21 60 50 150
张三92 51 54 13 39 118
张三40 24 7 80 37 111
张三45 5 62 12 26 79
张三31 52 87 4 47 143
张三81 51 28 61 46 140
张三87 6 82 27 38 115
张三91 11 35 26 24 72
张三90 41 61 88 63 190
张三59 14 31 54 33 99
张三50 34 19 65 39 118
张三84 14 76 76 55 166
张三44 70 91 31 64 192
张三90 88 61 11 53 160
张三73 3 87 59 49 149
张三47 34 16 37 29 87
张三74 66 61 14 47 141
张三16 61 0 8 23 69
张三2 97 43 73 71 213
张三98 27 43 48 39 118
张三76 86 9 49 48 144
张三46 76 4 33 37 113
张三68 77 50 28 51 155
张三61 90 40 63 64 193
张三63 67 69 34 56 170
张三3 37 10 58 35 105
张三25 97 36 79 70 212
张三59 98 69 50 72 217
张三55 22 55 68 48 145
张三73 93 7 60 53 160
张三8 97 33 66 65 196
张三27 42 52 60 51 154
张三18 35 61 49 48 145
张三6 32 34 68 44 134
张三54 10 41 85 45 136
张三17 85 90 42 72 217
张三86 8 16 31 18 55
张三24 28 41 50 39 119
张三48 61 86 35 60 182
张三21 26 82 38 48 146
张三30 11 39 75 41 125
张三75 19 70 29 39 118
张三22 82 95 85 87 262
张三76 88 83 16 62 187
张三10 76 63 41 60 180
张三3 29 9 43 27 81
张三79 0 65 11 25 76
张三95 4 63 79 48 146
张三80 98 53 88 79 239
张三60 17 63 25 35 105
张三80 56 54 63 57 173
张三85 27 0 22 16 49
张三73 82 88 11 60 181
张三25 80 89 40 69 209
张三49 99 64 91 84 254
张三79 45 78 65 62 188
张三31 92 49 83 74 224
张三80 75 60 26 53 161
张三39 2 47 11 20 60
张三64 22 20 18 20 60
张三29 52 60 40 50 152
张三87 98 92 8 66 198
张三23 56 94 26 58 176
张三19 31 25 44 33 100
张三35 43 41 66 50 150
张三16 84 86 5 58 175
张三41 89 60 80 76 229
张三50 24 36 41 33 101
张三65 54 14 19 29 87
张三78 60 54 11 41 125
张三69 58 65 80 67 203
张三37 88 16 17 40 121
张三75 35 13 66 38 114
张三19 17 43 78 46 138
张三52 71 33 42 48 146
张三70 47 59 3 36 109
张三49 94 59 53 68 206
张三2 47 49 61 52 157
张三56 80 6 11 32 97
张三12 40 96 44 60 180
张三24 0 34 78 37 112
张三59 87 35 75 65 197
张三80 3 94 94 63 191
张三36 45 52 23 40 120
张三8 34 14 14 20 62
张三34 27 26 4 19 57
张三91 17 7 80 34 104
张三94 90 86 83 86 259
张三37 45 13 22 26 80
张三86 36 21 30 29 87
张三20 82 13 70 55 165
张三67 98 85 67 83 250
张三26 46 71 19 45 136
张三97 45 73 16 44 134
张三75 34 86 85 68 205
张三35 26 51 54 43 131
张三59 19 68 37 41 124
张三24 46 90 0 45 136
张三22 10 77 94 60 181
张三37 35 21 25 27 81
张三69 72 75 31 59 178
张三67 53 5 44 34 102
张三81 43 77 17 45 137
张三50 53 0 18 23 71
张三65 89 25 90 68 204
张三81 77 63 4 48 144
张三86 86 98 46 76 230
张三50 74 19 11 34 104
张三39 32 36 85 51 153
张三99 59 79 49 62 187
张三65 8 51 44 34 103
张三2 46 2 95 47 143
张三25 52 40 22 38 114
张三97 27 17 95 46 139
张三80 19 40 59 39 118
张三29 93 67 83 81 243
张三42 36 69 39 48 144
张三81 0 31 95 42 126
张三92 69 54 19 47 142
张三9 31 29 96 52 156
张三85 69 48 4 40 121
张三5 20 36 47 34 103
张三84 70 74 39 61 183
张三47 19 42 94 51 155
张三95 35 47 54 45 136
张三13 39 39 50 42 128
张三99 97 75 11 61 183
张三81 93 32 85 70 210
张三86 25 34 35 31 94
张三22 18 90 78 62 186
张三57 14 55 9 26 78
张三66 50 87 68 68 205
张三47 91 91 91 91 273
张三11 94 11 14 39 119
张三70 71 40 67 59 178
张三80 5 27 65 32 97
张三99 8 32 48 29 88
张三66 57 31 87 58 175
张三36 33 29 83 48 145
张三16 97 26 90 71 213
张三30 73 79 42 64 194
张三30 86 2 77 55 165
张三45 79 21 90 63 190
张三0 80 23 91 64 194
张三86 21 47 54 40 122
张三98 8 24 24 18 56
张三49 30 61 57 49 148
张三86 49 86 40 58 175
张三35 78 82 79 79 239
张三25 10 48 98 52 156
张三51 48 87 51 62 186
张三82 59 59 0 39 118
张三91 18 5 5 9 28
张三83 68 92 83 81 243
张三62 67 88 33 62 188
张三51 73 62 33 56 168
张三12 78 21 30 43 129
张三23 39 30 10 26 79
张三62 93 63 18 58 174
张三46 10 80 82 57 172
张三51 58 21 82 53 161
张三87 66 98 16 60 180
张三47 33 97 63 64 193
张三16 22 98 99 73 219
张三93 89 56 84 76 229
张三30 45 67 48 53 160
张三73 99 26 19 48 144
张三49 62 29 54 48 145
张三32 89 3 13 35 105
张三88 4 42 81 42 127
张三77 33 32 18 27 83
张三87 89 89 77 85 255
张三44 73 97 15 61 185
张三57 49 22 4 25 75
张三12 18 19 20 19 57
张三72 60 64 83 69 207
张三94 62 68 7 45 137
张三18 17 88 2 35 107
张三44 1 21 88 36 110
张三71 66 20 40 42 126
张三41 50 33 34 39 117
张三73 97 47 10 51 154
张三70 1 94 35 43 130
张三28 45 9 13 22 67
张三79 59 96 21 58 176
张三29 60 14 67 47 141
张三0 41 33 95 56 169
张三96 43 19 46 36 108
张三69 53 1 67 40 121
张三87 57 42 39 46 138
张三56 49 78 60 62 187
张三98 59 17 30 35 106
张三19 52 99 48 66 199
张三85 21 90 43 51 154
张三32 94 50 46 63 190
张三60 24 38 6 22 68
张三45 93 63 54 70 210
张三45 44 46 37 42 127
张三80 89 64 29 60 182
张三87 77 68 48 64 193
张三80 93 18 33 48 144
张三74 56 78 18 50 152
张三52 26 80 99 68 205
张三0 69 66 88 74 223
张三72 60 22 79 53 161
张三65 72 49 77 66 198
张三60 79 29 96 68 204
张三14 62 89 19 56 170
张三21 13 52 12 25 77
张三54 52 55 70 59 177
张三13 41 78 58 59 177
张三90 63 55 38 52 156
张三11 41 54 18 37 113
张三83 23 30 39 30 92
张三51 32 71 48 50 151
张三16 45 98 70 71 213
张三80 66 96 73 78 235
张三13 14 69 57 46 140
张三60 27 5 98 43 130
张三65 10 78 29 39 117
张三83 64 72 20 52 156
张三39 52 22 15 29 89
张三0 72 84 32 62 188
张三85 32 72 63 55 167
张三91 78 22 48 49 148
张三65 76 10 36 40 122
张三94 14 8 4 8 26
张三65 49 17 33 33 99
张三92 78 5 6 29 89
张三75 7 0 36 14 43
张三35 10 41 16 22 67
张三29 33 44 81 52 158
张三18 37 73 27 45 137
张三62 38 14 4 18 56
张三65 67 17 48 44 132
张三10 1 61 23 28 85
张三78 39 14 93 48 146
张三62 80 93 33 68 206
张三62 46 15 71 44 132
张三53 18 21 41 26 80
张三20 0 87 97 61 184
张三37 27 89 68 61 184
张三95 3 81 77 53 161
张三94 31 45 94 56 170
张三91 36 26 52 38 114
张三60 81 23 11 38 115
张三1 97 19 80 65 196
张三71 98 30 27 51 155
张三36 28 43 4 25 75
张三67 88 63 34 61 185
张三18 28 21 42 30 91
张三9 46 6 10 20 62
张三89 40 92 81 71 213
张三90 40 70 55 55 165
张三44 48 74 70 64 192
张三39 30 87 56 57 173
张三1 40 36 47 41 123
张三66 89 64 24 59 177
张三52 2 5 36 14 43
张三90 12 62 82 52 156
张三65 67 74 4 48 145
张三37 26 58 63 49 147
张三32 33 98 69 66 200
张三16 48 90 55 64 193
张三79 2 73 87 54 162
张三3 64 15 23 34 102
张三89 30 55 68 51 153
张三91 96 23 64 61 183
张三98 85 57 5 49 147
张三85 0 69 96 55 165
张三64 34 25 91 50 150
张三47 20 42 84 48 146
张三30 34 98 87 73 219
张三36 71 68 41 60 180
张三17 79 77 59 71 215
张三77 33 20 75 42 128
张三25 23 78 70 57 171
张三61 89 84 62 78 235
张三29 9 46 42 32 97
张三74 24 92 61 59 177
张三97 43 37 82 54 162
张三84 79 46 7 44 132
张三65 13 13 58 28 84
张三48 24 64 49 45 137
张三46 29 95 75 66 199
张三21 85 40 17 47 142
张三60 45 73 54 57 172
张三68 59 10 30 33 99
张三15 81 72 58 70 211
张三14 84 27 89 66 200
张三67 61 20 95 58 176
张三88 47 27 12 28 86
张三43 34 65 76 58 175
张三50 69 28 99 65 196
张三18 36 33 43 37 112
张三93 73 73 45 63 191
张三53 31 38 77 48 146
